epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,12389.8,1.0216,0.59798,0.97081,0.89609,0.70947,0.77558,0.55157,1.00864,0.52963,1.00868,0.000665057,0.000665057,0.000665057
29,12835.5,1.04038,0.60948,0.97428,0.90653,0.71669,0.76822,0.54286,1.00414,0.53607,1.00225,0.000636762,0.000636762,0.000636762
30,13256.7,0.99707,0.58293,0.97057,0.85312,0.7126,0.75659,0.52902,1.01753,0.54056,1.02365,0.000608468,0.000608468,0.000608468
31,13698.2,1.01209,0.58057,0.96325,0.86258,0.73574,0.78202,0.53352,1.04667,0.51543,1.03515,0.000580174,0.000580174,0.000580174
32,14146,0.99834,0.5711,0.96432,0.82931,0.7159,0.76579,0.53366,1.02984,0.53419,1.02055,0.00055188,0.00055188,0.00055188
33,14588.2,1.00463,0.5705,0.96601,0.84391,0.68782,0.77774,0.54689,1.01419,0.49225,1.00681,0.000523586,0.000523586,0.000523586
34,15031.9,0.98093,0.55079,0.94822,0.81815,0.69353,0.78404,0.5532,1.02773,0.50713,1.01671,0.000495291,0.000495291,0.000495291
35,15474.6,0.98975,0.54963,0.96066,0.80537,0.70198,0.77441,0.53905,1.02085,0.50333,1.01056,0.000466997,0.000466997,0.000466997
36,15918.9,0.97167,0.54825,0.94768,0.81867,0.71149,0.7768,0.54439,1.04436,0.49241,1.02423,0.000438703,0.000438703,0.000438703
37,16355.4,0.96652,0.53991,0.94904,0.80842,0.72022,0.7732,0.55451,1.0215,0.48729,1.01383,0.000410409,0.000410409,0.000410409
38,16798.2,0.95683,0.52306,0.94986,0.88672,0.67817,0.78489,0.57242,0.99388,0.47916,1.00536,0.000382115,0.000382115,0.000382115
39,17240.8,0.94628,0.52234,0.94989,0.8668,0.72539,0.81067,0.55685,1.01032,0.50395,1.01329,0.00035382,0.00035382,0.00035382
40,17683.5,0.97824,0.53886,0.94383,0.89209,0.66015,0.78532,0.56086,1.01786,0.49814,1.01889,0.000325526,0.000325526,0.000325526
41,18099.8,0.93097,0.50714,0.93639,0.8848,0.70829,0.77932,0.554,1.02311,0.5144,1.01509,0.000297232,0.000297232,0.000297232
